"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\farmacia\nombreProducto.js", "JavaScript", 0, 46, 1, 6, 53
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\farmacia\pedidoProducto.js", "JavaScript", 0, 32, 1, 6, 39
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\farmacia\pedidos.js", "JavaScript", 0, 36, 1, 6, 43
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\farmacia\presentacion.js", "JavaScript", 0, 28, 1, 6, 35
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\farmacia\producto.js", "JavaScript", 0, 44, 1, 6, 51
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\farmacia\proveedor.js", "JavaScript", 0, 36, 1, 6, 43
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\system\menu.js", "JavaScript", 0, 36, 1, 6, 43
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\system\rol.js", "JavaScript", 0, 28, 1, 6, 35
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\system\rolMenu.js", "JavaScript", 0, 24, 1, 6, 31
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\model\system\usuario.js", "JavaScript", 0, 81, 1, 6, 88
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\repositories\Repository.js", "JavaScript", 0, 144, 0, 20, 164
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\repositories\system\UsuarioRepository.js", "JavaScript", 0, 8, 0, 4, 12
"e:\proyecto_renacer2024\backend_renacer\src\infrastructure\setup.js", "JavaScript", 0, 27, 1, 10, 38
"Total", "-", 49, 3900, 362, 559, 4870
